308,477,G,-10582705,,,a,2,a
8,5,G,-10582705,,,b,4,b
10,5,G,-10258832,,,c,3,
15,4,G,-9469317,,,a,3,
298,478,R,-8751263,,,b,3,
24,6,R,-8751263,,,c,2,
25,5,R,-8095395,,,a,4,
31,5,R,-8161188,,,b,3,
32,5,R,-8490646,,,,,
38,4,R,-8556439,,,,,
433,472,B,-7839864,,,#VALUE!,9,
47,4,B,-7839864,,,,,
48,4,R,-8884886,,,,,
54,4,R,-8621458,,,,,
57,4,G,-9603467,,,,,
62,4,G,-9471880,,,,,
64,5,R,-8361872,,,,,
70,4,R,-8361872,,,,,
72,5,R,-7704755,,,,,
78,5,R,-7441326,,,,,
80,5,R,-9080718,,,,,
86,5,R,-8883340,,,,,
88,5,R,-8884620,,,,,
94,5,R,-8884620,,,,,
96,5,R,-8096431,,,,,
102,5,R,-8425139,,,,,
104,4,G,-9864125,,,,,
110,4,G,-9601209,,,,,
112,4,G,-10060949,,,,,
118,4,G,-9600398,,,,,
120,5,R,-8557704,,,,,
126,5,R,-8623497,,,,,
128,5,R,-8949659,,,,,
134,5,R,-8949659,,,,,
136,5,G,-9865619,,,,,
142,5,G,-9405068,,,,,
144,5,R,-8950413,,,,,
150,5,R,-8621448,,,,,
155,4,B,-9342077,,,,,
158,4,B,-9144699,,,,,
160,5,G,-9408152,,,,,
166,5,G,-8881808,,,,,
168,5,G,-10323594,,,,,
174,5,G,-10257545,,,,,
176,5,G,-9274779,,,,,
182,5,G,-9340572,,,,,
184,5,R,-7705505,,,,,
190,5,R,-7902883,,,,,
194,3,B,-9606797,,,,,
197,3,B,-9080453,,,,,
201,3,B,-8362876,,,,,
205,3,B,-7836532,,,,,
208,5,G,-9471626,,,,,
214,5,G,-9603469,,,,,
216,5,G,-9927569,,,,,
222,5,G,-10058898,,,,,
224,5,R,-8820110,,,,,
230,5,R,-8162181,,,,,
232,5,G,-9860772,,,,,
238,5,G,-10387116,,,,,
240,5,G,-9208468,,,,,
246,5,G,-9406104,,,,,
248,5,R,-8687755,,,,,
254,5,R,-8359046,,,,,
257,3,B,-10193289,,,,,
260,5,G,-9930118,,,,,
266,5,G,-9208720,,,,,
268,5,G,-9340306,,,,,
274,5,G,-10389135,,,,,
276,5,G,-9796998,,,,,
599,476,W,-8882056,,,,,
286,4,W,-8487298,,,,,
290,5,G,-9731484,,,,,
292,5,G,-9797277,,,,,
298,5,G,-9668508,,,,,
300,5,G,-9865630,,,,,
306,5,G,-9276310,,,,,
308,5,G,-9210517,,,,,
313,3,B,-8688005,,,,,
317,4,B,-8819847,,,,,
322,5,G,-9865619,,,,,
324,5,G,-9931412,,,,,
329,3,B,-9277564,,,,,
333,4,B,-9409406,,,,,
338,5,G,-10125193,,,,,
340,5,G,-10519951,,,,,
344,5,R,-8949650,,,,,
350,5,R,-9212565,,,,,
354,5,G,-9405833,,,,,
356,5,G,-9735055,,,,,
362,5,G,-9535884,,,,,
364,5,G,-10062484,,,,,
369,4,B,-8297594,,,,,
373,4,B,-8495230,,,,,
378,5,G,-9732768,,,,,
380,5,G,-9798561,,,,,
386,5,G,-9668758,,,,,
388,5,G,-10063516,,,,,
393,4,B,-10062471,,,,,
397,4,B,-9799042,,,,,
402,5,G,-9733018,,,,,
404,5,G,-9667225,,,,,
409,4,B,-9343118,,,,,
413,4,B,-9343118,,,,,
416,5,R,-8621478,,,,,
422,5,R,-8818600,,,,,
425,4,B,-9214092,,,,,
429,4,B,-9016456,,,,,
433,4,B,-9474447,,,,,
438,5,G,-9342605,,,,,
440,5,R,-8753311,,,,,
446,5,R,-8819104,,,,,
448,5,R,-8558987,,,,,
454,5,R,-8361352,,,,,
457,4,B,-9865862,,,,,
461,4,B,-10457742,,,,,
464,5,G,-9862567,,,,,
470,5,G,-10257324,,,,,
472,5,R,-8882336,,,,,
478,5,R,-9145507,,,,,
481,4,B,-8233084,,,,,
485,4,B,-7904376,,,,,
488,4,G,-11108756,,,,,
494,5,G,-11372185,,,,,
496,5,R,-9212052,,,,,
502,5,R,-8751501,,,,,
504,4,G,-9668508,,,,,
510,4,G,-9865630,,,,,
512,5,R,-8361120,,,,,
518,4,R,-8229534,,,,,
520,4,G,-9733016,,,,,
526,4,G,-10127774,,,,,
528,4,G,-10326172,,,,,
534,4,G,-9865621,,,,,
536,4,G,-9605023,,,,,
542,4,G,-9670816,,,,,
544,4,G,-10192563,,,,,
550,4,G,-10587321,,,,,
552,5,R,-9215636,,,,,
558,4,R,-9215636,,,,,
561,4,B,-9608847,,,,,
565,4,B,-9016454,,,,,
568,4,G,-11245237,,,,,
574,4,G,-10324135,,,,,
576,4,G,-9407400,,,,,
582,4,G,-10196660,,,,,
584,5,R,-9870261,,,,,
590,4,R,-9014952,,,,,
592,4,G,-9998754,,,,,
598,4,G,-9932961,,,,,
600,4,G,-10195375,,,,,
606,4,G,-10393010,,,,,
