"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
356,"2018-08-01 00:02:46.9560","2018-08-01 00:08:43.3260",401,"Allen St & Rivington St",40.72019576,-73.98997825,2009,"Catherine St & Monroe St",40.71117444,-73.99682619,30892,"Subscriber",1973,1
261,"2018-08-01 00:02:51.3020","2018-08-01 00:07:13.1450",265,"Stanton St & Chrystie St",40.72229346,-73.99147535,326,"E 11 St & 1 Ave",40.72953837,-73.98426726,14992,"Subscriber",1960,1
1406,"2018-08-01 00:02:51.0700","2018-08-01 00:26:17.9140",3162,"W 78 St & Broadway",40.78339981,-73.98093133,297,"E 15 St & 3 Ave",40.734232,-73.986923,17292,"Subscriber",1989,2
1352,"2018-08-01 00:02:55.6740","2018-08-01 00:25:28.6170",3374,"Central Park North & Adam Clayton Powell Blvd",40.799484,-73.955613,422,"W 59 St & 10 Ave",40.770513,-73.988038,19613,"Subscriber",1979,1
394,"2018-08-01 00:03:08.9860","2018-08-01 00:09:43.4420",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,301,"E 2 St & Avenue B",40.72217444,-73.98368779,27985,"Subscriber",1982,1
899,"2018-08-01 00:03:11.3320","2018-08-01 00:18:11.0840",435,"W 21 St & 6 Ave",40.74173969,-73.99415556,312,"Allen St & Stanton St",40.722055,-73.989111,21168,"Subscriber",1972,2
411,"2018-08-01 00:03:11.6710","2018-08-01 00:10:03.3300",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,433,"E 13 St & Avenue A",40.72955361,-73.98057249,28955,"Subscriber",1986,1
528,"2018-08-01 00:03:15.7990","2018-08-01 00:12:04.4910",3285,"W 87 St & Amsterdam Ave",40.78839,-73.9747,3163,"Central Park West & W 68 St",40.7734066,-73.97782542,26451,"Subscriber",1999,1
203,"2018-08-01 00:03:18.7470","2018-08-01 00:06:42.6560",3093,"N 6 St & Bedford Ave",40.71745169,-73.95850939,2002,"Wythe Ave & Metropolitan Ave",40.716887,-73.963198,30983,"Subscriber",1985,2
734,"2018-08-01 00:03:19.6300","2018-08-01 00:15:34.5920",3472,"W 15 St & 10 Ave",40.742753828659026,-74.00747358798981,432,"E 7 St & Avenue A",40.72621788,-73.98379855,27261,"Subscriber",1969,0
940,"2018-08-01 00:03:23.5910","2018-08-01 00:19:03.7340",3466,"W 45 St & 6 Ave (OLD)",40.75668720603179,-73.98257732391357,514,"12 Ave & W 40 St",40.76087502,-74.00277668,20598,"Customer",1969,0
854,"2018-08-01 00:03:25.8160","2018-08-01 00:17:40.1560",3112,"Milton St & Franklin St",40.72906,-73.95779,3066,"Tompkins Ave & Hopkins St",40.69957608,-73.94708417,32401,"Subscriber",1990,1
385,"2018-08-01 00:03:37.1290","2018-08-01 00:10:02.1850",229,"Great Jones St",40.72743423,-73.99379025,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,18129,"Subscriber",1985,1
2063,"2018-08-01 00:03:39.0740","2018-08-01 00:38:02.9880",276,"Duane St & Greenwich St",40.71748752,-74.0104554,3308,"Kane St & Clinton St",40.6861758,-73.99645295,19293,"Customer",1991,1
